City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
615,Mogadishu,2.04,45.34,80.55,66,19,17.05,SO,2020-11-28 17:24:19,few clouds
616,Sorland,67.67,12.69,44.85,86,100,27.92,NO,2020-11-28 17:24:19,light rain
617,Luau,-10.71,22.22,68.11,92,100,1.61,AO,2020-11-28 17:24:19,overcast clouds
618,Forio,40.73,13.86,64.99,73,100,14.0,IT,2020-11-28 17:24:19,overcast clouds
619,Solton,52.84,86.48,12.13,91,8,2.68,RU,2020-11-28 17:24:19,clear sky
620,Parintins,-2.63,-56.74,91.04,45,79,5.3,BR,2020-11-28 17:24:19,broken clouds
621,Gaya,24.78,85.0,59.0,87,0,4.61,IN,2020-11-28 17:24:19,mist
622,Yarim,14.3,44.38,56.05,82,59,2.39,YE,2020-11-28 17:24:20,light rain
623,Oranjemund,-28.55,16.43,63.36,78,0,21.81,NA,2020-11-28 17:24:20,clear sky
624,Pangody,65.85,74.49,-1.97,92,0,9.08,RU,2020-11-28 17:24:20,clear sky
625,Omboue,-1.57,9.26,76.68,86,77,6.62,GA,2020-11-28 17:24:20,broken clouds
626,Matara,5.95,80.54,77.16,83,100,2.98,LK,2020-11-28 17:24:20,overcast clouds
627,Kuryk,43.2,51.65,42.04,62,5,20.96,KZ,2020-11-28 17:24:20,clear sky
628,Youghal,51.95,-7.85,51.01,100,90,12.75,IE,2020-11-28 17:24:20,fog
629,Ventspils,57.39,21.56,37.4,93,90,4.7,LV,2020-11-28 17:24:20,overcast clouds
630,Virginia Beach,36.85,-75.98,62.6,72,90,6.93,US,2020-11-28 17:24:10,overcast clouds
631,Pandamatenga,-18.53,25.63,79.34,55,92,2.8,BW,2020-11-28 17:24:20,overcast clouds
632,Erzurum,40.0,41.5,32.0,77,40,12.75,TR,2020-11-28 17:24:20,scattered clouds
633,Acari,-15.43,-74.62,83.07,39,85,10.76,PE,2020-11-28 17:24:20,overcast clouds
634,Salym,60.06,71.48,3.65,94,0,3.09,RU,2020-11-28 17:24:20,clear sky
635,Honningsvag,70.98,25.97,37.81,79,100,22.48,NO,2020-11-28 17:24:21,overcast clouds
636,Becerril,9.7,-73.28,83.25,76,44,3.69,CO,2020-11-28 17:23:55,moderate rain
637,Kristianstad,56.03,14.15,33.8,91,28,5.82,SE,2020-11-28 17:24:21,scattered clouds
638,Catia La Mar,10.6,-67.03,79.0,71,100,4.7,VE,2020-11-28 17:24:21,light rain
639,Rampur,28.82,79.03,60.17,36,0,3.76,IN,2020-11-28 17:20:19,clear sky
640,Zatoka,46.07,30.47,37.4,100,90,4.47,UA,2020-11-28 17:24:21,mist
641,Humberto De Campos,-2.6,-43.46,88.03,59,100,7.25,BR,2020-11-28 17:24:21,overcast clouds
642,Garoua Boulai,5.88,14.55,75.88,32,100,4.16,CM,2020-11-28 17:24:21,overcast clouds
643,Zaysan,47.47,84.87,25.52,96,100,1.36,KZ,2020-11-28 17:24:21,snow
644,Marsh Harbour,26.54,-77.06,75.79,64,1,5.61,BS,2020-11-28 17:24:21,clear sky
645,Maldonado,-34.67,-54.92,84.99,58,75,14.99,UY,2020-11-28 17:21:47,broken clouds
646,Chimbote,-9.09,-78.58,72.12,61,7,11.95,PE,2020-11-28 17:24:21,clear sky
647,Capreol,46.71,-80.92,36.0,90,90,10.29,CA,2020-11-28 17:24:21,light snow
648,Vasilyevskiy Mokh,57.01,35.92,32.81,97,100,6.6,RU,2020-11-28 17:24:22,light snow
649,Nuuk,64.18,-51.72,26.6,68,75,3.36,GL,2020-11-28 17:24:22,broken clouds
650,Maputo,-25.97,32.59,78.01,83,20,12.75,MZ,2020-11-28 17:24:22,few clouds
651,Manaure,11.78,-72.44,85.14,69,96,15.75,CO,2020-11-28 17:24:22,light rain
652,Hearst,49.68,-83.67,32.0,92,84,8.05,CA,2020-11-28 17:24:22,broken clouds
653,Cobija,-11.03,-68.77,87.8,66,40,4.7,BO,2020-11-28 17:24:22,scattered clouds
654,Tahta,26.77,31.5,66.2,48,0,13.87,EG,2020-11-28 17:24:22,clear sky
655,Ovalle,-30.6,-71.2,83.8,32,0,11.01,CL,2020-11-28 17:20:43,clear sky
656,Praia Grande,-24.01,-46.4,82.0,78,75,8.05,BR,2020-11-28 17:24:22,broken clouds
657,Ubrique,36.68,-5.45,59.0,93,75,3.36,ES,2020-11-28 17:24:22,broken clouds
658,Gazojak,41.19,61.4,32.63,86,0,10.33,TM,2020-11-28 17:24:23,clear sky
659,Saint-Paul,-21.01,55.27,77.0,69,90,14.99,RE,2020-11-28 17:24:23,overcast clouds
660,Baherden,38.44,57.43,44.06,60,100,11.99,TM,2020-11-28 17:24:23,overcast clouds
661,Dudinka,69.41,86.18,10.4,85,90,22.37,RU,2020-11-28 17:24:23,light snow
662,Clarence Town,-32.58,151.78,77.0,61,91,2.24,AU,2020-11-28 17:24:23,overcast clouds
663,Shatrovo,56.52,64.63,7.38,95,23,4.76,RU,2020-11-28 17:24:24,few clouds
664,Bakchar,57.02,82.07,5.09,95,0,3.38,RU,2020-11-28 17:24:24,clear sky
665,Venkatagiri,13.97,79.58,75.16,89,22,1.77,IN,2020-11-28 17:24:24,heavy intensity rain
666,Segezha,63.74,34.32,23.58,96,43,7.67,RU,2020-11-28 17:24:24,scattered clouds
667,Yantarnyy,54.87,19.94,39.2,86,75,11.18,RU,2020-11-28 17:24:24,broken clouds
668,Olinda,-8.01,-34.86,82.4,58,40,13.87,BR,2020-11-28 17:24:24,scattered clouds
669,Srisailam,16.08,78.87,68.81,93,70,4.83,IN,2020-11-28 17:24:24,light rain
670,Grootfontein,-19.57,18.12,75.74,56,59,12.12,NA,2020-11-28 17:24:24,light rain
671,Taoudenni,22.68,-3.98,71.15,22,27,2.17,ML,2020-11-28 17:24:24,scattered clouds
672,Oriximina,-1.77,-55.87,89.65,55,82,6.42,BR,2020-11-28 17:24:24,broken clouds
673,Mount Holly,35.3,-81.02,66.2,39,20,5.82,US,2020-11-28 17:24:07,few clouds
674,Bam,29.11,58.36,61.95,31,95,0.58,IR,2020-11-28 17:22:32,overcast clouds
675,Ermioni,37.39,23.24,55.0,73,100,7.09,GR,2020-11-28 17:24:25,overcast clouds
676,Baghdad,33.34,44.4,60.8,93,90,4.7,IQ,2020-11-28 17:24:01,overcast clouds
677,Blagoyevo,63.37,47.92,13.08,96,6,4.16,RU,2020-11-28 17:24:25,clear sky
678,Luanda,-8.84,13.23,80.6,78,75,6.93,AO,2020-11-28 17:24:02,broken clouds
679,Povenets,62.85,34.83,22.24,96,66,7.2,RU,2020-11-28 17:24:25,broken clouds
680,San Julian,21.02,-102.17,72.61,30,6,1.72,MX,2020-11-28 17:24:25,clear sky
681,Garowe,8.41,48.48,78.49,53,48,18.86,SO,2020-11-28 17:24:25,scattered clouds
682,Mogliano Veneto,45.56,12.23,48.2,75,75,3.36,IT,2020-11-28 17:24:25,broken clouds
683,Rodrigues Alves,-7.74,-72.65,84.2,83,75,3.36,BR,2020-11-28 17:24:25,broken clouds
684,Rio Gallegos,-51.62,-69.22,51.8,27,75,29.97,AR,2020-11-28 17:24:25,broken clouds
685,Wukari,7.85,9.78,84.92,24,0,2.01,NG,2020-11-28 17:24:25,clear sky
686,Igdir,39.92,44.05,32.0,64,34,1.12,TR,2020-11-28 17:24:26,scattered clouds
687,Chunhuhub,19.55,-88.68,84.4,58,13,4.14,MX,2020-11-28 17:24:26,few clouds
688,Abalak,58.13,68.59,3.81,95,34,3.15,RU,2020-11-28 17:24:26,scattered clouds
689,Cervo,43.67,-7.41,54.0,86,93,6.85,ES,2020-11-28 17:24:26,overcast clouds
690,Krasnoselkup,65.7,82.47,-4.58,92,62,7.74,RU,2020-11-28 17:24:26,broken clouds
691,Itacoatiara,-3.14,-58.44,92.62,49,67,4.34,BR,2020-11-28 17:24:26,broken clouds
692,Neuquen,-38.95,-68.06,82.4,24,0,5.82,AR,2020-11-28 17:20:59,clear sky
693,Birnin Kebbi,12.45,4.2,87.89,23,0,4.07,NG,2020-11-28 17:20:11,clear sky
694,Antibes,43.56,7.13,64.4,48,75,16.11,FR,2020-11-28 17:24:26,broken clouds
695,Boende,-0.22,20.87,73.51,95,100,1.7,CD,2020-11-28 17:20:31,overcast clouds
696,Dire,12.28,-10.97,94.46,12,0,3.83,ML,2020-11-28 17:24:26,clear sky
697,Aktau,43.65,51.2,33.8,80,40,15.66,KZ,2020-11-28 17:21:09,scattered clouds
698,Kazerun,29.62,51.65,61.65,64,99,4.83,IR,2020-11-28 17:24:26,overcast clouds
699,Veraval,20.9,70.37,77.34,39,0,14.5,IN,2020-11-28 17:24:27,clear sky
700,Torit,4.41,32.57,79.84,62,66,2.1,SS,2020-11-28 17:24:27,light rain
701,Cagli,43.55,12.65,51.01,100,90,10.29,IT,2020-11-28 17:24:27,fog
702,Boa Vista,2.82,-60.67,89.6,52,75,9.17,BR,2020-11-28 17:24:27,broken clouds
703,Chardara,41.25,67.97,36.66,79,51,5.7,KZ,2020-11-28 17:24:27,broken clouds
704,Goderich,43.75,-81.72,39.2,64,17,16.11,CA,2020-11-28 17:24:27,few clouds
705,Januaria,-15.48,-44.37,83.57,52,21,8.25,BR,2020-11-28 17:24:27,few clouds
706,Kathmandu,27.72,85.32,48.2,81,20,2.13,NP,2020-11-28 17:23:13,few clouds
707,Adre,13.47,22.2,76.19,21,0,7.67,TD,2020-11-28 17:24:27,clear sky
708,Benguela,-12.58,13.41,80.6,78,75,6.93,AO,2020-11-28 17:24:27,broken clouds
709,Hammerfest,70.66,23.68,41.0,65,100,18.34,NO,2020-11-28 17:24:27,light rain
710,Barkot,30.82,78.2,51.62,43,20,4.27,IN,2020-11-28 17:24:28,few clouds
711,Lamu,-2.27,40.9,82.4,78,40,6.93,KE,2020-11-28 17:24:28,scattered clouds
712,Beterou,9.2,2.26,86.83,47,88,3.56,BJ,2020-11-28 17:24:29,overcast clouds
713,Talbahat,25.05,78.43,59.7,43,0,1.9,IN,2020-11-28 17:24:29,clear sky
714,Chodavaram,17.83,82.95,77.0,73,75,6.93,IN,2020-11-28 17:24:29,haze
715,Hajnowka,52.74,23.58,32.0,84,99,5.97,PL,2020-11-28 17:24:29,light snow
